,,,,,,
,11/03/15,CHA,Hibernian,2 - 1,Livingston,View events
,22/03/15,CHA,Hibernian,0 - 2,Rangers,View events
,04/04/15,CHA,Hibernian,0 - 1,Queen of the South,View events
,12/04/15,CHA,Hibernian,2 - 0,Hearts,View events
,18/04/15,FAC,Hibernian,0 - 1,Falkirk,View events
,25/04/15,CHA,Hibernian,4 - 1,Alloa Athletic,View events
,23/05/15,PL1,Hibernian,1 - 0,Rangers,View events
,25/07/15,CHC,Hibernian,2 - 6,Rangers,View events
,01/08/15,LEC,Hibernian,3 - 0,Montrose,View events
,15/08/15,CHA,Hibernian,1 - 0,Greenock Morton,
,26/08/15,LEC,Hibernian,1 - 0,Stranraer,View events
,29/08/15,CHA,Hibernian,2 - 0,Raith Rovers,View events
,12/09/15,CHA,Hibernian,3 - 0,Alloa Athletic,View events
,23/09/15,LEC,Hibernian,2 - 0,Aberdeen,View events
,26/09/15,CHA,Hibernian,1 - 1,St. Mirren,View events
,17/10/15,CHA,Hibernian,4 - 2,Dumbarton,View events
,01/11/15,CHA,Hibernian,2 - 1,Rangers,View events
,04/11/15,LEC,Hibernian,3 - 0,Dundee United,View events
,17/11/15,CHA,Hibernian,2 - 1,Livingston,View events
,12/12/15,CHA,Hibernian,1 - 1,Falkirk,View events
,19/12/15,CHA,Hibernian,1 - 0,Queen of the South,View events
,02/01/16,CHA,Hibernian,1 - 0,Raith Rovers,View events
,23/01/16,CHA,Hibernian,3 - 1,St. Mirren,View events
,30/01/16,LEC,Hibernian,2 - 1,St. Johnstone,View events
,16/02/16,FAC,Hibernian,1 - 0,Hearts,View events
,21/02/16,CHA,Hibernian,3 - 0,Alloa Athletic,View events
,24/02/16,CHA,Hibernian,0 - 3,Greenock Morton,View events
,06/03/16,FAC,Hibernian,1 - 1,Inverness CT,View events
,13/03/16,LEC,Hibernian,1 - 2,Ross County,View events
,05/04/16,CHA,Hibernian,2 - 1,Livingston,View events
,12/04/16,CHA,Hibernian,2 - 2,Falkirk,View events
,16/04/16,FAC,Hibernian,P0 - 0,Dundee United,
,20/04/16,CHA,Hibernian,3 - 2,Rangers,View events
,26/04/16,CHA,Hibernian,4 - 0,Dumbarton,View events
